post_text,label
RT AstronautAbby AstroLuca2013 RT astro_luca Arriving in Queensland were welcomed by a riveting colorful nature Australia http,1
RT BBCCambs Aboard the aquatic combines harvesting weeds in Cambs waterways httptcooROpiSiWk2  dottymcl 0750 httptco9V5Afb,1
This yep httptcoJ8chAUgPTy,1
Big hoggle out for his supper tonight Hes a magical little beastie  httptcoz8ECvjJG46,1
RT RSPCA_official Marley amp Zena on DogRescuers looking fab after rescue from owner who let them to almost starve Owning a dog is a priv,1
RT Protect_Wldlife Indeed httptcowK9r6khTaj,1
Such a magical sky tonight It changes in seconds nofilter httptco7Ms2AwwgQY,1
Beautiful sky tonight nofilter httptcoC3DI8rp0bq,1
A rare Tuesday treat for dinner comfortfood httpstco9LEtZ3J7NN,1
Bought today Cant decide if this is super organised or waaay too early httptcoq73bhZqJLn,1
lilypebbles sorry to hear this Lily Pets are family and its heartbreaking when they die Dixie had a lovely life with you x,1
Must remember this httptcoPq9N006MBF,1
Gorilla Has Amazing Reaction When Reunited With Man That Took Care Of Him For 5 Years httptcowul3hxTvGR,1
RT designtaxi Test your eyes by playing this fastpaced colormatching game httptcohFramEin83 httptcoqDUPDbDRNq,1
I scored 447 points at KOLOR a game where you have to guess colors to score high,1
Awake Mind racing Need to sleep dammit  insomnia,1
Square 11 done crochet crochetblanket httptco4EHqftYzvt,1
the_candourist glad to see that you survived the brutality of the desert Stay strong be safe,1
Ive just remembered that the new house has  range cooker Whoop Looking forward to road testing it ,1
Square 10  lacy crochet  pale blue DK yarn crocheting crochetblanket httptcoVRVVn6vqoH,1
9 squares made crochet crocheting httptcomROMYKM0tA,1
RT CambridgeNewsUK Have you had a look around Milton Country Park Weve found some of its prettiest spots httptcownbSmqq5hs http,1
RT twistedthread Happy Sunday BorntoSew httptcopmV7hEWAZW,1
Deckchair in the sun whats not to love  CatsOfTwitter httptcoVEGr1rwUag,1
Watching Pitch Perfect 2 Pat Benatar  We Belong httpstcoWLLJ5EN5UY,1
Natalie Imbruglia where is she now,1
Two hoggles out for dinner so far tonight hedgehog httptcoujiXe60Csl,1
RT bhcitynews Brighton student chosen to exhibit alongside Hogarth and Reynolds at National Portrait Gallery httptco4tiSQ7JM61,1
Woof_ALL_4_PETS beautiful kitty,1
ViviannaMakeup what a lovely kitchen,1
RT CambridgeNewsUK 18 fun things to do in Cambridgeshire in September httptcoU79AgwlxOp httptco7wtocGuE9r,1
Can you see me  WorldCatDay httptcoD9tBTMHLsc,1
RT DogsTrust These pups cant be cuddled due to a horrible skin infection DT_Essex provide the TLC httptcoYy1IW5RULj httptc,1
Its not your chair its all mine worldcatday httptcoHrwdUOKSYG,1
RT CambridgeNewsUK The Cambridgeshire Cook Book is out now httptcowIma0jCgmm httptcoGoz1FfmDId,1
RT CambridgeNewsUK Most Alevel predicted grades are wrong Cambridge Assessment finds httptco8UiyJMJH3U,1
I might have completed on the house by this time next week Whoop ,1
MrBenBrown just watched you amp Steve get your tats Looked painless I want now ,1
Keeping me company while I work  WorldCatDay CatsProtection httptcoG4FLZSvK6P,1
What a happy little dog   Rose plays with a balloon httpstcoQ75cZVKHtz via YouTube,1
4 snuffly hedgehogs out for dinner this evening ,1
Poor babies  httpstcoSMZnjrNrrK,1
Oh no What is wrong with people   httpstcozl9f9h6agQ,1
The estate agent is officially pissing me off now,1
RT BBCCambs Woman 20 assaulted as she walked home in Peterborough  appeal by CambsCops httptcoq5ZXbWpDOm,1
RT richardbranson Why big game animals are worth more alive than dead httptcoRovVjkRo2Q httptcok5hWnhcdzF,1
DonkeySanctuary a mention in The Times fastest growing farm attraction How lovely Yay for the donkeys  httptcozFkMaLzZRK,1
Are the schools now out Theres no traffic this morning Feels really odd,1
Square 8 complete Trebles and bobbles crochet httptco2cu6FpvKeW,1
RT Protect_Wldlife Please RT A massive THANK YOU to the kind souls who look after the orphans of the Rhino horn trade InSafeHands htt,1
RT Protect_Wldlife Scared baby Elephant Rapas cries saved him from drowning httptcoqiEZ1AIM6x Many thanks to the DSWT team http,1
Its been a while river Cam but you still fill me with joy  httpstcoSzdImZ4HBv,1
A beautiful evening for gentle walk home httpstcoJW4hie24Jl,1
Yaay Grantchester  httpstcoYdQ4NKQyzc,1
I  bus drivers who actually wait for elderly passengers to sit before they start driving off They arent all so nice,1
RIP George Minder star George Cole dies at 90 httptcoOm3Bqe3P57,1
Poffy will alway take time out from his hectic schedule of sleeping amp eating to give his buddy a quick wash  httptco2801UBO3on,1
Trying a new stitch Bit uneven so  this is my test attempt  crochet httpstco9sEF1JpRGu,1
RT RSPCA_official RT heartwiltsnews Kittens found in car towed 87 miles from Swindon httptcoXDH7vv640A HeartNews httptcogS,1
How the boy in front of me who has a beard and reeks of lager has just got a child bus fare is a mystery ,1
Im now a step closer towards contracts signed and completion on the house Exciting times ,1
Disgusting I hope they catch the person doing it  httpstco9ejubl3XC7,1
RT twistedthread Minions fans This patterns for you httptcoB6nCIujZi8 sewing felt httptcoD52ww2qKJb,1
CatsProtection one of my girls doing what she does best sleeping  WhiskersWednesday httptcoZuJ8Nwz48B,1
I wish the foreign language schools in Cambridge would teach students some manners too ,1
Bad nights sleep Weird anxiety dreams have left me feeling anything but refreshed ,1
the_candourist fantastic first vlog Very emotional Beautifully filmed Good luck on your epic ride ,1
Just this httptcoVDErR663eU,1
and its only Tuesday morning httptco9mxCpI5SJN,1
Random song popped into my head Midnight Train to Georgia No idea why or where from httptcow0bsahUYbb,1
Life may only seem perfect to the outside world motivationalquotes httptco7EaDTs8Qb4,1
RT rickygervais On a serious note Im so incredibly proud of all of you for your unified compassion and condemnation of animals abusers,1
Theres nothing more delicious than coming home and taking off the work clothes ,1
Talking 80s TV shows this afternoon brought up mention of the talking aspidistra Who remembers that ,1
Appeal to identify suspects after homophobic assault on train back to London from Brighton Pride httpstcozCH0e0kVFg,1
Retro sweets Monday  httpstcoqmca1QFuhs,1
RT designtaxi Makeup artist paints wonderful whimsical scenes of adorable cats on eyelids httptcoHoGYWEsBYl httptco5y8mTUlszW,1
RT folksy Feeling overwhelmed  Craft Business Advice  Time Management Tips   httptcoSTADTOt2OY,1
RT designtaxi Know of a catloving friend who would love to have this patch httptcoTOyxOBW1jt httptcoEjAX83Yl40,1
RT craftsbeautiful yarnbombing has come to Coronation Street httptcoMC8Xar7kUv httptcoXaxPcJU14d,1
Monday Im coming to get ya positiveaffirmations httptcoGV0tuIn8md,1
Remember this httptcomyLwHHyv1D,1
Pre Mondayanxiety anxiety sucks ,1
How wonderful  httpstcoWVUwZfkLal,1
Holywell river front httpstcoXjZYXOBaPt,1
Sunday lunch at the Old Ferryboat Inn httpstcobB13500Cy2,1
RIP Cilla Cilla Black dies aged 72  via Telegraph httptcovXpY3OnxJS,1
The Bangles  Eternal Flame  httptcoWRv8vTcnJ8,1
Soooo sleepy and its only 830 on a Saturday night ,1
My first crochet flower httptcoybbOv8iQik,1
Funny how a song can transport you to a time and place remind you of someone causing a physical jolt changing the moment instantly,1
I only went in to Hobbycraft for black buttons Several balls of wool amp a needle felt kit later httptcoqXCsJt0hOP,1
Mashed avocado on toast breakfast of champions  httpstcoD22S28tSNT,1
RT richardbranson Why protecting endangered species is one of the most important things any of us can do httptcoI0v3Kmqjy0 httpt,1
 this Tears For Fears  Head Over Heels httptcowcdyqrNWCf,1
Mum is out of surgery and seems to be fine Overnight in the hospital then home tomorrow ,1
New crochet project making red poppies to sell for the British Legion First flowers Ive ever made ,1
What a vile subhuman httpstcov8ADW40cVQ,1
Good to be home Happy its finally Friday and work is over ,1
RT RSPCA_official Would you know what to do if your cat was poisoned See symptoms amp advice on what to do here httptco1x7QhZOZzp h,1
Is depression an illness httpstcofDKqA7OpWA,1
Searching for a therapist that meets on weekends httpstcoI0KyqS5ccm,1
The 1st Ladys mental health road map mental wellness httpstcoGgGJ0N9ehX,1
Want your teen to practice safe sex parenting httpstcorgooMJ9ZkN,1
Untreated mental illness leaves 2 dead mentalillness httpstco5DbkU63byZ,1
Stereotypes about teens can undermine parents httpstcoB4pt0UJftq,1
What do you do when your loved one is in crisis httpstcoiMsHcLlfeo,1
Parenting with mental illness mentalillness httpstcoUZeFiuSCeN,1
How recovery from addiction impacts the family httpstco7GesKMVBxI,1
Heroin deaths on a surge httpstcoBLn2Dy3wJd,1
How not to raise a narcissist httpstcoiFVP7n4lhD,1
Top 13 relationship deal breakers httpstcoG7XBNBG0a8,1
CBT for the winter blues httpstcoS8qQPZffOG,1
The Decisive Marriage httpstco4L9mJjBsj2,1
Is mental suffering just like any other illness mentalillness httpstcomrRSFeHCJG,1
75 of wounded veterans suffer from PTSD httpstcokja7b4hkfw,1
Stressed tired and rushed family httpstco46OCjnAljy,1
The Client Therapist relationship httpstcoZpP2xejRL5,1
Whats a traumatic birth httpstcoiSz9r9d4uR,1
A US Therapist General httpstcoRR7pfW5wO0,1
Is addiction a crisis in the US httpstcoidXDoONIbf,1
How could jewelry help prevent sexual assault httpstcoC4Y1ci0Voj,1
Gonorrhea becoming more resistant  STD httpstco3XSuj5vEO3,1
Should parents have the sex talk with their children httpstco8iuFQiNOWI,1
Subtle suicide httpstcouI5SPpZjxF,1
Does Halloween traumatize children httpstcobBecDKmh2U,1
College students and alcohol disorders httpstco9zDvTemV2F,1
More white men die from suicide and substance abuse httpstco5DCfH8aiS1,1
Same sex couples and fertility benefits httpstcomDd33Zhdol,1
March against eating disorders in Washington httpstco7IXmAD1XaR,1
Anorexic woman weighed 40 pounds httpstcolFS6FqgNFL,1
Love a women with anxiety httpstcorZXY9JGwBe,1
Mindfulness in the workplace httpstconIvRzSqE7W,1
How to teach children how to selfadvocate parenting httpstcoTjdzOMu5Ua,1
How can children inherit our anxiety httpstcottw0BgRbqS,1
Children and selfesteem httpstcoS3Dz8UqYji,1
What happens when you try to prevent every suicide httpstcoYA5jcyIhij,1
How to deal with mental health issues at work mentalhealth httpstcoYzwzwPxXiy,1
Peer support and breaking the stigma httpstcoavmVqvezGx,1
Teens selfharm bullying and sexting httpstcoNCEKZw8t5A,1
Limit video game time to help manage ADHD httpstco92w8iV5e6b,1
How to stop child abuse httpstcolFtW4lpGs2,1
Need a weekend counseling appointment in CT httpstcoDRW6HNlRkY,1
Do you know the signs of child neglect httpstcoPaLX7pYTc7,1
Love a person with mental illness mentalillness httpstcoYN9txXMcRZ,1
Messages to those with mental illness worldwide mentalillness httpstcozj4cyOnWoW,1
How do you accept your emotions acceptance httpstcoENrbFZ6qfS,1
Need a therapist that accepts Husky insurance in CT httpstcoqa3Oxxuqah,1
What are some side effects of antidepressants httpstcowPkchM2OsT,1
Think your sadness may be depression httpstcoN6Bo4PQLoZ,1
Mental health and academic life mentalhealth httpstcoHgTENMFT2y,1
When it comes to stress do women have it worse httpstcoFjCCS59mzn,1
Poor parenting and children behavior problems httpstcoebDGrwjURk,1
Dating sites connected to STD  increase httpstco8Tf90Gvl2Q,1
Searching for a counselor that meets on weekends httpstcoORUlLlzO8D,1
Subtle signs of depression httpstcoZ5ZWJu2OoU,1
Men account for 76 of suicides in 2014 httpstcoka1aDaKnDH,1
Accountants and mental health stress httpstcop3k1LHa0WU,1
Another way to counter anxiety httpstcoRXiFoDLU56,1
Does legalizing prostitution lead to more trafficking httpstcoYXt8mj2hkV,1
Things you shouldnt do after an affair httpstcoWv2Yf0IhHS,1
Does early life stress lead to depression later on httpstcoUQLOWlVP8h,1
Is your marriage good for your health httpstcoBa9iGINNBl,1
Do you struggle with the need for perfection httpstcoCYutjsH9Mi,1
How has birth control impacted your marriage httpstcoTDQFZL2Fur,1
How do seniors cope with depression httpstcotwyblQ4AxV,1
How do you make sense out of depression httpstcoE9DrgrClmn,1
How does stress effect your health httpstcoGxXCFMGP1f,1
Black men and mental illness mentalillness httpstcoCws4FHg48J,1
Understanding anxiety in men httpstcoYWQPeulzTW,1
Mentally ill left behind mentalillnes httpstco3VBpl3SdHx,1
Tackling feelings of resentment httpstcoJ8Vk1A07Du,1
Myths that undermine addiction recovery httpstco5ESWo5rKJ6,1
How many people do you know with a cocaine problem addiction httpstcoMwkaTy7OK6,1
Children and pot addiction httpstcoiOPC5Nqd3X,1
PTSD after a flood httpstcoBwJukxaief,1
Volunteering improves mental health httpstcoBQaAvYc3Oy,1
Taking care of yourself at work httpstcoW8FnjtCA0Y,1
Reversing childhood obesity httpstco6VzzS1CJQE,1
Dont take it out on the children httpstcoLDjTKbaSs2,1
Refusing treatment for Bipolar Disorder httpstco9dCkLqCX4i,1
Doctors against vaccines httpstco177lF1Q8qM,1
Spotlight on prescription drug abuse httpstcoyukITpDmZH,1
ADHD Aint no Daddy At Home Disorder httpstcoJJXPpxWit5,1
Next time notice the feeling when someone smiles at you Mindfulness httpstco7Ft3W48rfZ,1
Screening children for depression during physical exams httpstco5rFzoySmuf,1
Genetic mutations cause half of Autism httpstco1CnUiIkrTR,1
How does your job impact your mental health httpstcoZUMj52xLoi,1
Australian Mental Health system broken httpstcoLRyHGfZWl0,1
Scholars question if ADHD even exists httpstcoq4ii1bMEw2,1
Children going to the chiropractor httpstcovGJKGEVFkc,1
Do you know about bipolar disorder httpstcoxzNpPp52KQ,1
Kids and Screen electronics Addiction httpstcor4wcXN9sut,1
Increase in ADHD medication use httpstcoWhwDD2QWpU,1
Older women still enjoy sex too httpstcoWYdF2jnlFq,1
Has anyone expressed concern about how much you worry anxiety httpstcordbvL7dh2S,1
What does love addicted mean httpstcowngEb677PF,1
Talking is the best therapy httpstco2xvhKey1tg,1
College kids and alcohol httpstco2CSoRPUfZK,1
Getting teachers mental health training httpstcoMNjGsSjD9i,1
People in recovery need support httpstcoNIKUZDhvBE,1
Should he tell her that he dated men in the past relationships dating httpstcoGwpg91mSed,1
Real men dont get depression stereotype httpstcoGtspMr4CGq,1
Worsts habits for mental health httpstco33Ut0oiyz7,1
Tips on how to overcome depression httpstco7lcb7WzVgz,1
Different parenting styles httpstcoc66HoSyQqt,1
Link between maternity leave and mental health httpstco5zEhlOUcQK,1
Savoring positive emotions httpstcoPBrbURybaE,1
Suicide a survivors point of view httpstcoh4xLIPlYty,1
Increased funding for Youth Mental Health and Substance abuse prevention httpstcoErUxHbej4z,1
Daily admissions for selfharm httpstcoeaKfenpevI,1
Signs of mental strength and resilience httpstco6QaeGINVG7,1
Questions about sex addiction httpstcou13qKo3rAl,1
Women at greater risk for PTSD then men httpstcoD53j1s80i9,1
Want to improve relationships httpstcoeqKMa8DZN9,1
Men anxiety and depression httpstco5YGwafRXgO,1
Teen prescription drug use down httpstcosho3CXrzLA,1
How a child becomes a bully httpstcoO8Us1m6Y7b,1
Do men have biological clocks httpstco0Ng4gHVP3y,1
Drug prevention tips for Youth httpstcokF6Gw0BNL0,1
Looking for a therapist in Connecticut to see you on the weekends httpstco3DH4DbQRQl,1
Have you ever suspected someone of experiencing PTSD httpstcoYY1RxTWeSh,1
Can we really help to make homework less stressful for children httpstcovOc0GJ4r2S,1
Who uses ecigarettes the most nicotine addiction httpstcoihSUGiKbfX,1
What is a toxic workspace mentalhealth httpstcoD8vFs2rLaS,1
Mental health treatment in the ER mentalillness httpstcoRTKBDV0eHV,1
Do video games help to manage ADHD httpstcoc7cxzDBGYB,1
What does post partum depression look like httpstco9TcGPmO5h8,1
How do you deal with aggressive children httpstcoqnNWVndvZJ,1
Keeping poor children in school httpstco1NJK44VNFM,1
What do you know about shyness httpstcomlIjxuXLMB,1
Are mean people successful counseling httpstcoKVfdZ7EvBc,1
Children with sexually inappropriate behaviors httpstcooA9smskbq5,1
Have you ever had feelings of emptiness httpstcoaGCcXW8mhN,1
How can we talked to our kid about college parenting stress httpstcour2K9Y1LDD,1
Can kids and toddlers have depression too httpstcoCcptRWyhus,1
How can you help your teen with peer pressure parenting httpstcox0v4HRTxDF,1
How to deal with fetal alcohol syndrome parenting httpstco1ZXwXYW8lP,1
Can vitamin D improve our sleep httpstcoUyTGRPe2Nq,1
How do you parent a 15 year old parenting httpstcoRgh6AixyAc,1
Should you use you employers mental health screening tools mentalhealth httpstcopN2qSbJh3N,1
Consequences of making threats of suicide httpstcoZNJoBVNWRF,1
Married and dissatisfied marriage httpstcopLdYaoyfcx,1
The powerful effect of gratitude httpstcoHMteuotkU3,1
Why vegetarian diet is good for you httpstcol25VqhD7XB,1
Oxytocin and helps with Autism httpstcoyirwagH2qC,1
Dating after divorce httpstcoVUJ8iVG90y,1
Gender bias when it comes to expressing anger httpstcoamgcxgATFB,1
Psych Meds used as study aids medication httpstcoRiDqakOtOh,1
College minor in substance abuse addiction httpstco5sAMvwU7Ct,1
People with mental illness need to be listened to mentalillness httpstcod1n8n8izj5,1
What age is too young to medicate anxiety toddlers httpstco8Y96QKiGQz,1
Paid sick days for mental health reasons mentalhealth httpstcomMESScko6e,1
Domestic violence victims taking control back women httpstcoXsYlqisAbu,1
Are there questionable ads in parenting magazines httpstcoNm4HCnPz1T,1
Struggling with parenting your teen httpstcoOCFvMJyuQP,1
Do you consider yourself to be a controlling parent Parenting httpstcoi959DHc55q,1
Strategies for bipolar disorder httpstcoQunY1Doh6w,1
Do you obsess over food OCD httpstco9syDb5hhka,1
Are you concerned about your child playing football and helmet to helmet contact concussions httpstcoQmJvsKMgam,1
Can childhood adversity change our brains httpstcoHFTqyeH9Kj,1
Do you think mentally ill women are targeted to be abused mentalillness httpstcov8zAx9R9vK,1
Have you ever thought alcohol ads are harmful to teens httpstco4j44lp3lSo,1
Do you think too much social media is harmful to kids httpstcontAwDWwAfm,1
Borderline personality helps on the job httpstcoXIBI6Ju20L,1
Would you like to see mental health taught in school mentalhealth httpstcoHbwy7D0BCt,1
Has your partner been diagnosed with borderline personality disorder httpstco37dCk7wwjY,1
Are American Teens more reckless than other teens elsewhere httpstcofJRpQlwdrq,1
Ever thought that depression was more complex than a simple mental health screen httpstcoJLEbmgY4mc,1
How does music impact your thoughts and feelings httpstcogZ4v5dGlr1,1
Many people have toxic friends and are unaware Are your friends toxic to your well being relationships httpstcoXcIQ7TuNEA,1
How many parents would know what to do if their child was diagnosed with depression httpstco36UnsMbpic,1
Can you afford a therapist Is that one of the barriers to getting the help that you need httpstcoBFQBgrYh2n,1
Is this a reasonable plan to address an addiction problem httpstcomzKXp66edz,1
Have you ever wondered how  having a mental illness could impact your insurance coverage mentalillness httpstcoTvtOOvUkGn,1
